DATACENTER 000041
AUTOMATED REPORT PERIOD: FY 2015-2017


OPERATION NOTES:
6bf78d70e9ed1039f38a255e3e8b01a96efd(redacted)
3d59eca70c8f7df581780c08b99a2608fd62(redacted)
9decd0450170e6f2c0f722231e98a7b3a1ae(redacted)
7f8a5025aa8b7029fe560a167090440611ae(redacted)
04f69901c3f09dfa32b7e266ec074f9c4eef(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Power/generator loss:                 0
Physical intrusion (person):          0
Operator (employee) error:            0
Operator (non-employee) error:        1
Power/generator reduction:            0
Physical intrusion (water):           1
Misc. elec.:                          7
HVAC:                                 0
Fiber pipeline in:                    1
Fiber pipeline out:                   0
----------------------------------------------
END OF LINE
