DATACENTER 000095
AUTOMATED REPORT PERIOD: FY 2015-2017
OPERATION NOTES:
ec7cee0a810ed2b002baff1440f34e581e75(redacted)
403d10c4884c28c9ec0ea7a0027aa7a92768(redacted)
65240e6f29126d3edb3e97ac02d3123318ff(redacted)
fd645e1e4eaf772672e64e454def589cacba(redacted)
a3d8421e6a25f104ea81ab3f2b989711fd40(redacted)
59a79e5823acd5a9c5514fcbd4bdd0dee4f7(redacted)
e39715dbc49bc1496cfd3d4a561ace91417b(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Fiber pipeline in:                    1
Physical intrusion (person):          0
Power/generator reduction:            0
Misc. elec.:                          4
Operator (employee) error:            0
Fiber pipeline out:                   0
Power/generator loss:                 0
HVAC:                                 2
Operator (non-employee) error:        0
Physical intrusion (water):           2
