DATACENTER 000761
AUTOMATED REPORT PERIOD: FY 2015-2017
OPERATION NOTES:
934e63a8c6e5b32432b31ee96dd550499424(redacted)
95f74a6460547a3da2f0dea64db4f0903e78(redacted)
bf2d8567cff05eedd6da10b77a63317063bb(redacted)
bb41b30c356c149de8ff9be87a1c17b417d1(redacted)
7e4395a8f12ffb0206fe4faa43bff275e427(redacted)
8d9280019fb2116de25b1d3f7206d9ec6e40(redacted)
3e1d13598a84da548a418774c3f310b4737e(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Fiber pipeline in:                    1
Fiber pipeline out:                   1
HVAC:                                 0
Misc. elec.:                          5
Operator (employee) error:            0
Operator (non-employee) error:        0
Physical intrusion (person):          0
Physical intrusion (water):           2
Power/generator loss:                 0
Power/generator reduction:            1
