DATACENTER 000990
AUTOMATED REPORT PERIOD: FY 2015-2017
OPERATION NOTES:
f05a587fb6022ab3b47a54039f1a5a390039(redacted)
1afdff7f955128bfcf47cc5605fe76fabbd9(redacted)
8e1774e1a104d5206d4a2658c38d4526d662(redacted)
4a9856f1fb80c854d8a9b32f6c41ffaa9279(redacted)
93384440b2e75baeee0544d4d7914a89e388(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Fiber pipeline in:                    2
Fiber pipeline out:                   0
HVAC:                                 1
Misc. elec.:                          3
Operator (employee) error:            0
Operator (non-employee) error:        0
Physical intrusion (person):          0
Physical intrusion (water):           1
Power/generator loss:                 0
Power/generator reduction:            0
----------------------------------------------
END OF LINE
