DATACENTER 001238
AUTOMATED REPORT PERIOD: FY 2015-2017
OPERATION NOTES:
7fc7bb6977e1725a8fea690271d88683280c(redacted)
c50693ecb6c53923bc79b7d2f13849b16353(redacted)
345e430a8ca8bbc46def4868b9bfa7039132(redacted)
30b7374ac5c06de2137ff532efd2ae7d0fbb(redacted)
3804ab6ecd49d97469461c0e4410739787e0(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Fiber pipeline in:                   16
Fiber pipeline out:                   0
HVAC:                                16
Misc. elec.:                         44
Operator (employee) error:            0
Operator (non-employee) error:        1
Physical intrusion (person):          0
Physical intrusion (water):           8
Power/generator loss:                 0
Power/generator reduction:            4
----------------------------------------------
END OF LINE
