DATACENTER 001313
AUTOMATED REPORT PERIOD: FY 2015-2017
OPERATION NOTES:
900e6ff4fdf94596addaf2eb37387fa8b0b3(redacted)
d8c8c7b6a19283da557fb372aba5662215af(redacted)
a30041abef6cd9e6de798ee0f9111931afb1(redacted)
a16ec81c3c06a0bdd7ff48824553595c6e28(redacted)
22f1f41c9e7879aafb6a1c4e35dcd904d13d(redacted)
3e9e13b5f82e9cb7e7ae0c9c504828ac84c6(redacted)
37b3b2831a9bd8a7e5043ab5a5c9e84e9b18(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Fiber pipeline in:                    3
Fiber pipeline out:                   3
HVAC:                                 5
Misc. elec.:                         30
Operator (employee) error:            0
Operator (non-employee) error:        0
Physical intrusion (person):          0
Physical intrusion (water):          72
Power/generator loss:                 0
Power/generator reduction:            3
