DATACENTER 001368
AUTOMATED REPORT PERIOD: FY 2015-2017
OPERATION NOTES:
4e54428138bdfbdf7e0d602b5b363a34c2ad(redacted)
45846a5f12c1f3d8c6c8bbe153ae80362974(redacted)
95cf46b20fe024757bd583a503aa3abb7417(redacted)
87371a713da0b1b1ff496e97838416130a05(redacted)
a643e951dd0e52026adcaac504b3343029b7(redacted)
785b502959aaf48be8df8ea77e10ce509fd6(redacted)
b297cd54d2bc1bdd7f8625340e7cc98e3cf3(redacted)
ERROR MODE                            COUNT
----------------------------------------------
Power/generator loss:                 0
HVAC:                                 0
Physical intrusion (person):          0
Fiber pipeline in:                    0
Power/generator reduction:            0
Misc. elec.:                          6
Operator (employee) error:            0
Operator (non-employee) error:        0
Fiber pipeline out:                   0
Physical intrusion (water):           1
